,변환,전기대비증감률
1,1965/02,0.8
2,1965/03,-0.8
3,1965/04,0.0
4,1965/05,2.0
5,1965/06,2.0
6,1965/07,0.4
7,1965/08,0.0
8,1965/09,0.4
9,1965/10,-0.2
10,1965/11,-0.2
11,1965/12,0.6
12,1966/01,0.8
13,1966/02,1.5
14,1966/03,0.6
15,1966/04,1.7
16,1966/05,1.9
17,1966/06,1.5
18,1966/07,0.5
19,1966/08,0.5
20,1966/09,0.0
21,1966/10,0.0
22,1966/11,-0.7
23,1966/12,0.4
24,1967/01,-0.5
25,1967/02,0.7
26,1967/03,0.5
27,1967/04,2.1
28,1967/05,1.2
29,1967/06,0.3
30,1967/07,0.3
31,1967/08,0.7
32,1967/09,0.5
33,1967/10,0.2
34,1967/11,0.7
35,1967/12,0.2
36,1968/01,1.7
37,1968/02,1.5
38,1968/03,0.6
39,1968/04,0.5
40,1968/05,0.3
41,1968/06,0.3
42,1968/07,0.2
43,1968/08,0.2
44,1968/09,-0.2
45,1968/10,1.6
46,1968/11,1.3
47,1968/12,-0.8
48,1969/01,1.6
49,1969/02,1.1
50,1969/03,0.3
51,1969/04,0.5
52,1969/05,0.6
53,1969/06,0.4
54,1969/07,0.1
55,1969/08,0.0
56,1969/09,0.6
57,1969/10,0.6
58,1969/11,0.4
59,1969/12,1.0
60,1970/01,2.5
61,1970/02,0.8
62,1970/03,1.0
63,1970/04,1.2
64,1970/05,0.4
65,1970/06,0.0
66,1970/07,0.1
67,1970/08,0.3
68,1970/09,1.0
69,1970/10,0.0
70,1970/11,0.9
71,1970/12,0.7
72,1971/01,0.5
73,1971/02,0.5
74,1971/03,0.3
75,1971/04,0.5
76,1971/05,0.9
77,1971/06,1.7
78,1971/07,-0.4
79,1971/08,0.9
80,1971/09,3.5
81,1971/10,1.9
82,1971/11,1.0
83,1971/12,0.9
84,1972/01,0.8
85,1972/02,2.3
86,1972/03,1.9
87,1972/04,0.7
88,1972/05,0.9
89,1972/06,0.3
90,1972/07,0.3
91,1972/08,0.8
92,1972/09,-0.3
93,1972/10,-0.4
94,1972/11,0.1
95,1972/12,0.8
96,1973/01,0.5
97,1973/02,0.4
98,1973/03,0.3
99,1973/04,0.5
100,1973/05,0.7
101,1973/06,0.2
102,1973/07,0.8
103,1973/08,2.1
104,1973/09,1.6
105,1973/10,0.2
106,1973/11,1.2
107,1973/12,5.6
108,1974/01,4.9
109,1974/02,14.5
110,1974/03,3.0
111,1974/04,4.2
112,1974/05,0.7
113,1974/06,1.2
114,1974/07,1.1
115,1974/08,0.9
116,1974/09,-0.4
117,1974/10,0.4
118,1974/11,2.2
119,1974/12,5.6
120,1975/01,6.0
121,1975/02,1.2
122,1975/03,0.5
123,1975/04,2.7
124,1975/05,2.3
125,1975/06,1.0
126,1975/07,0.3
127,1975/08,0.4
128,1975/09,0.6
129,1975/10,1.2
130,1975/11,0.4
131,1975/12,1.5
132,1976/01,2.9
133,1976/02,0.5
134,1976/03,0.6
135,1976/04,0.6
136,1976/05,0.8
137,1976/06,0.6
138,1976/07,0.6
139,1976/08,0.5
140,1976/09,0.7
141,1976/10,0.4
142,1976/11,0.9
143,1976/12,0.1
144,1977/01,1.1
145,1977/02,2.2
146,1977/03,0.5
147,1977/04,0.4
148,1977/05,0.6
149,1977/06,0.9
150,1977/07,0.5
151,1977/08,0.7
152,1977/09,0.7
153,1977/10,0.4
154,1977/11,0.4
155,1977/12,1.3
156,1978/01,2.3
157,1978/02,1.8
158,1978/03,0.3
159,1978/04,0.6
160,1978/05,0.9
161,1978/06,1.3
162,1978/07,0.5
163,1978/08,0.1
164,1978/09,1.9
165,1978/10,1.1
166,1978/11,0.7
167,1978/12,0.3
168,1979/01,0.6
169,1979/02,1.5
170,1979/03,2.4
171,1979/04,2.7
172,1979/05,2.8
173,1979/06,0.6
174,1979/07,5.1
175,1979/08,3.1
176,1979/09,1.3
177,1979/10,0.7
178,1979/11,-0.2
179,1979/12,1.0
180,1980/01,4.4
181,1980/02,13.8
182,1980/03,3.7
183,1980/04,1.3
184,1980/05,1.8
185,1980/06,0.1
186,1980/07,0.7
187,1980/08,2.2
188,1980/09,1.6
189,1980/10,1.3
190,1980/11,1.5
191,1980/12,3.8
192,1981/01,1.5
193,1981/02,0.8
194,1981/03,1.0
195,1981/04,2.5
196,1981/05,2.9
197,1981/06,1.0
198,1981/07,0.2
199,1981/08,0.6
200,1981/09,0.5
201,1981/10,-0.1
202,1981/11,-1.1
203,1981/12,1.1
204,1982/01,0.7
205,1982/02,0.7
206,1982/03,-0.2
207,1982/04,0.1
208,1982/05,0.3
209,1982/06,-0.1
210,1982/07,0.4
211,1982/08,-0.2
212,1982/09,0.4
213,1982/10,-0.1
214,1982/11,0.0
215,1982/12,0.4
216,1983/01,0.4
217,1983/02,-0.2
218,1983/03,-0.3
219,1983/04,-0.1
220,1983/05,-0.5
221,1983/06,-0.3
222,1983/07,-0.2
223,1983/08,0.2
224,1983/09,0.3
225,1983/10,-0.3
226,1983/11,0.0
227,1983/12,0.2
228,1984/01,0.1
229,1984/02,0.2
230,1984/03,0.0
231,1984/04,0.6
232,1984/05,-0.4
233,1984/06,-0.4
234,1984/07,0.3
235,1984/08,0.8
236,1984/09,1.1
237,1984/10,-0.7
238,1984/11,-0.4
239,1984/12,0.3
240,1985/01,0.2
241,1985/02,-0.1
242,1985/03,-0.4
243,1985/04,0.5
244,1985/05,-0.1
245,1985/06,0.0
246,1985/07,0.1
247,1985/08,0.0
248,1985/09,0.3
249,1985/10,0.1
250,1985/11,-0.6
251,1985/12,0.5
252,1986/01,0.2
253,1986/02,-0.7
254,1986/03,-0.9
255,1986/04,-0.5
256,1986/05,0.1
257,1986/06,-0.3
258,1986/07,0.1
259,1986/08,0.0
260,1986/09,0.3
261,1986/10,-0.9
262,1986/11,-0.1
263,1986/12,0.1
264,1987/01,0.1
265,1987/02,0.2
266,1987/03,0.3
267,1987/04,0.8
268,1987/05,0.4
269,1987/06,-0.8
270,1987/07,0.0
271,1987/08,0.5
272,1987/09,0.5
273,1987/10,-0.2
274,1987/11,-0.4
275,1987/12,1.2
276,1988/01,0.6
277,1988/02,0.6
278,1988/03,-0.2
279,1988/04,-0.3
280,1988/05,0.4
281,1988/06,0.1
282,1988/07,0.4
283,1988/08,0.5
284,1988/09,-0.3
285,1988/10,-0.6
286,1988/11,0.6
287,1988/12,0.5
288,1989/01,-0.2
289,1989/02,0.2
290,1989/03,0.0
291,1989/04,0.4
292,1989/05,0.4
293,1989/06,0.0
294,1989/07,-0.7
295,1989/08,0.4
296,1989/09,0.6
297,1989/10,0.2
298,1989/11,-0.3
299,1989/12,0.1
300,1990/01,1.1
301,1990/02,0.1
302,1990/03,0.4
303,1990/04,0.6
304,1990/05,0.7
305,1990/06,0.3
306,1990/07,-0.1
307,1990/08,0.4
308,1990/09,1.3
309,1990/10,0.9
310,1990/11,0.1
311,1990/12,1.1
312,1991/01,0.6
313,1991/02,0.4
314,1991/03,0.1
315,1991/04,0.0
316,1991/05,-0.1
317,1991/06,0.0
318,1991/07,-0.1
319,1991/08,0.5
320,1991/09,0.1
321,1991/10,0.1
322,1991/11,0.0
323,1991/12,0.3
324,1992/01,0.4
325,1992/02,0.1
326,1992/03,0.4
327,1992/04,0.1
328,1992/05,0.3
329,1992/06,0.4
330,1992/07,0.7
331,1992/08,0.0
332,1992/09,-0.4
333,1992/10,-0.3
334,1992/11,-0.3
335,1992/12,0.1
336,1993/01,0.4
337,1993/02,0.0
338,1993/03,0.7
339,1993/04,0.3
340,1993/05,0.1
341,1993/06,0.1
342,1993/07,-0.1
343,1993/08,0.2
344,1993/09,0.3
345,1993/10,-0.3
346,1993/11,0.0
347,1993/12,0.3
348,1994/01,1.0
349,1994/02,0.2
350,1994/03,-0.1
351,1994/04,0.1
352,1994/05,-0.1
353,1994/06,0.4
354,1994/07,0.4
355,1994/08,1.0
356,1994/09,0.0
357,1994/10,0.2
358,1994/11,0.0
359,1994/12,0.6
360,1995/01,1.0
361,1995/02,0.4
362,1995/03,0.7
363,1995/04,0.6
364,1995/05,0.3
365,1995/06,0.1
366,1995/07,0.2
367,1995/08,0.0
368,1995/09,0.7
369,1995/10,-0.4
370,1995/11,-0.3
371,1995/12,0.4
372,1996/01,1.3
373,1996/02,0.4
374,1996/03,-0.3
375,1996/04,0.5
376,1996/05,0.1
377,1996/06,0.3
378,1996/07,0.7
379,1996/08,0.1
380,1996/09,0.2
381,1996/10,0.0
382,1996/11,0.0
383,1996/12,0.3
384,1997/01,1.2
385,1997/02,0.4
386,1997/03,-0.1
387,1997/04,0.3
388,1997/05,0.1
389,1997/06,0.1
390,1997/07,0.0
391,1997/08,0.2
392,1997/09,0.3
393,1997/10,-0.2
394,1997/11,0.5
395,1997/12,6.5
396,1998/01,4.2
397,1998/02,2.5
398,1998/03,-0.2
399,1998/04,0.1
400,1998/05,-1.1
401,1998/06,-0.1
402,1998/07,-0.5
403,1998/08,-0.7
404,1998/09,0.1
405,1998/10,0.0
406,1998/11,-0.2
407,1998/12,-0.6
408,1999/01,-1.1
409,1999/02,-0.2
410,1999/03,-0.2
411,1999/04,0.3
412,1999/05,0.4
413,1999/06,-0.6
414,1999/07,-0.2
415,1999/08,0.7
416,1999/09,0.5
417,1999/10,1.0
418,1999/11,0.6
419,1999/12,-0.2
420,2000/01,1.0
421,2000/02,-0.2
422,2000/03,-0.1
423,2000/04,-0.5
424,2000/05,-0.2
425,2000/06,0.2
426,2000/07,0.1
427,2000/08,0.0
428,2000/09,0.3
429,2000/10,-0.1
430,2000/11,0.0
431,2000/12,0.1
432,2001/01,0.3
433,2001/02,-0.2
434,2001/03,0.2
435,2001/04,-0.1
436,2001/05,-0.1
437,2001/06,-0.4
438,2001/07,-0.1
439,2001/08,-0.5
440,2001/09,-0.3
441,2001/10,-0.5
442,2001/11,-0.4
443,2001/12,-0.6
444,2002/01,0.2
445,2002/02,0.5
446,2002/03,0.5
447,2002/04,0.8
448,2002/05,0.4
449,2002/06,-0.6
450,2002/07,-0.3
451,2002/08,0.1
452,2002/09,0.2
453,2002/10,0.1
454,2002/11,0.2
455,2002/12,0.0
456,2003/01,0.8
457,2003/02,0.5
458,2003/03,1.0
459,2003/04,-0.5
460,2003/05,-0.6
461,2003/06,-0.5
462,2003/07,0.2
463,2003/08,0.4
464,2003/09,0.4
465,2003/10,0.3
466,2003/11,0.5
467,2003/12,0.7
468,2004/01,1.4
469,2004/02,1.2
470,2004/03,1.0
471,2004/04,0.5
472,2004/05,0.2
473,2004/06,-0.1
474,2004/07,0.4
475,2004/08,0.9
476,2004/09,0.4
477,2004/10,0.0
478,2004/11,0.1
479,2004/12,-0.7
480,2005/01,1.0
481,2005/02,0.2
482,2005/03,0.1
483,2005/04,0.3
484,2005/05,-0.6
485,2005/06,-0.5
486,2005/07,0.6
487,2005/08,0.3
488,2005/09,0.4
489,2005/10,0.3
490,2005/11,-0.3
491,2005/12,-0.3
492,2006/01,0.3
493,2006/02,0.0
494,2006/03,-0.1
495,2006/04,0.2
496,2006/05,0.3
497,2006/06,-0.2
498,2006/07,0.3
499,2006/08,0.7
500,2006/09,0.3
501,2006/10,-0.9
502,2006/11,-0.5
503,2006/12,-0.1
504,2007/01,0.0
505,2007/02,0.1
506,2007/03,0.4
507,2007/04,0.7
508,2007/05,0.6
509,2007/06,0.2
510,2007/07,0.1
511,2007/08,-0.1
512,2007/09,0.5
513,2007/10,0.2
514,2007/11,0.4
515,2007/12,0.4
516,2008/01,0.6
517,2008/02,0.9
518,2008/03,1.3
519,2008/04,2.1
520,2008/05,2.0
521,2008/06,1.6
522,2008/07,2.0
523,2008/08,-0.3
524,2008/09,-0.4
525,2008/10,-0.3
526,2008/11,-2.3
527,2008/12,-1.7
528,2009/01,-0.3
529,2009/02,0.7
530,2009/03,0.5
531,2009/04,0.1
532,2009/05,-0.8
533,2009/06,-0.3
534,2009/07,1.1
535,2009/08,0.6
536,2009/09,0.1
537,2009/10,-0.8
538,2009/11,0.3
539,2009/12,0.5
540,2010/01,0.4
541,2010/02,0.2
542,2010/03,0.5
543,2010/04,0.7
544,2010/05,0.8
545,2010/06,0.1
546,2010/07,0.2
547,2010/08,0.3
548,2010/09,0.6
549,2010/10,0.4
550,2010/11,0.3
551,2010/12,0.9
552,2011/01,1.5
553,2011/02,0.7
554,2011/03,1.2
555,2011/04,0.6
556,2011/05,0.3
557,2011/06,-0.2
558,2011/07,0.1
559,2011/08,0.1
560,2011/09,0.1
561,2011/10,-0.1
562,2011/11,-0.3
563,2011/12,0.1
564,2012/01,0.5
565,2012/02,0.7
566,2012/03,0.5
567,2012/04,0.0
568,2012/05,-0.6
569,2012/06,-1.2
570,2012/07,-0.4
571,2012/08,0.6
572,2012/09,0.3
573,2012/10,-0.8
574,2012/11,-0.7
575,2012/12,-0.2
576,2013/01,0.2
577,2013/02,0.7
578,2013/03,-0.4
579,2013/04,-0.3
580,2013/05,-0.3
581,2013/06,0.0
582,2013/07,0.0
583,2013/08,0.3
584,2013/09,-0.1
585,2013/10,-0.4
586,2013/11,-0.2
587,2013/12,0.2
588,2014/01,0.3
589,2014/02,0.1
590,2014/03,0.0
591,2014/04,-0.2
592,2014/05,0.0
593,2014/06,0.0
594,2014/07,0.1
595,2014/08,-0.1
596,2014/09,-0.4
597,2014/10,-0.7
598,2014/11,-0.3
599,2014/12,-1.0
600,2015/01,-1.2
601,2015/02,0.1
602,2015/03,-0.1
603,2015/04,0.0
604,2015/05,0.1
605,2015/06,-0.1
606,2015/07,-0.4
607,2015/08,-0.6
608,2015/09,-0.4
609,2015/10,-0.7
610,2015/11,-0.4
611,2015/12,-0.2
612,2016/01,-0.5
613,2016/02,0.0
614,2016/03,-0.1
615,2016/04,0.3
616,2016/05,0.1
617,2016/06,0.2
618,2016/07,-0.1
619,2016/08,0.1
620,2016/09,0.2
621,2016/10,0.3
622,2016/11,0.4
623,2016/12,0.9
624,2017/01,1.5
625,2017/02,0.4
626,2017/03,0.0
627,2017/04,-0.2
628,2017/05,-0.3
629,2017/06,-0.4
630,2017/07,0.1
631,2017/08,0.5
632,2017/09,0.7
633,2017/10,0.1
634,2017/11,-0.1
635,2017/12,0.1
636,2018/01,0.4
637,2018/02,0.4
638,2018/03,0.0
639,2018/04,0.1
640,2018/05,0.3
641,2018/06,0.0
642,2018/07,0.5
643,2018/08,0.4
644,2018/09,0.3
645,2018/10,-0.3
646,2018/11,-0.7
647,2018/12,-0.5
648,2019/01,-0.1
649,2019/02,0.1
650,2019/03,0.4
651,2019/04,0.3
652,2019/05,0.1
653,2019/06,-0.3
654,2019/07,0.0
655,2019/08,0.2
656,2019/09,0.1
657,2019/10,-0.2
658,2019/11,-0.1
659,2019/12,0.3
660,2020/01,0.4
661,2020/02,-0.3
662,2020/03,-0.9
663,2020/04,-0.9
664,2020/05,0.0
665,2020/06,0.5
666,2020/07,0.2
667,2020/08,0.5
668,2020/09,0.2
669,2020/10,-0.4
670,2020/11,0.1
671,2020/12,0.8
672,2021/01,1.1
673,2021/02,0.8
674,2021/03,1.1
675,2021/04,1.0
676,2021/05,0.5
677,2021/06,0.5
678,2021/07,1.0
679,2021/08,0.5
680,2021/09,0.4
681,2021/10,1.0
682,2021/11,0.7
683,2021/12,0.0
684,2022/01,1.1
685,2022/02,0.5
686,2022/03,1.5
687,2022/04,1.6
688,2022/05,0.7
689,2022/06,0.6
690,2022/07,0.3
691,2022/08,-0.4
692,2022/09,0.1
693,2022/10,0.5
694,2022/11,-0.3
695,2022/12,-0.4
696,2023/01,0.4
697,2023/02,0.2
698,2023/03,0.1
699,2023/04,-0.1
700,2023/05,-0.4
701,2023/06,-0.2
702,2023/07,0.2
703,2023/08,0.8
704,2023/09,0.5
705,2023/10,-0.1
706,2023/11,-0.4
707,2023/12,0.1
708,2024/01,0.5
709,2024/02,0.3
710,2024/03,0.2
711,2024/04,0.3
712,2024/05,0.1
713,2024/06,0.0
714,2024/07,0.3
715,2024/08,-0.2
716,2024/09,-0.2
