변환,기업대출,가계대출,신용카드대출
2002/12,1.8,1.5,8.5
2003/12,1.9,1.8,7.8
2004/12,1.8,1.7,4.1
2005/05,2.4,1.9,4.7
2005/06,1.8,1.5,3.1
2005/07,2.0,1.6,3.5
2005/08,2.1,1.6,3.7
2005/09,1.8,1.4,2.7
2005/10,1.9,1.4,3.0
2005/11,1.8,1.4,3.0
2005/12,1.3,1.1,2.2
2006/01,1.7,1.3,2.5
2006/02,1.7,1.4,2.7
2006/03,1.5,1.2,2.1
2006/04,1.6,1.2,2.3
2006/05,1.7,1.3,2.5
2006/06,1.2,1.0,1.9
2006/07,1.5,1.0,2.2
2006/08,1.5,1.2,2.5
2006/09,1.3,0.9,1.9
2006/10,1.5,1.1,2.4
2006/11,1.4,0.9,2.5
2006/12,1.0,0.7,0.1
2007/01,1.2,0.8,1.9
2007/02,1.3,0.9,2.1
2007/03,1.2,0.8,1.7
2007/04,1.3,0.8,1.8
2007/05,1.2,0.9,1.8
2007/06,0.9,0.6,1.4
2007/07,1.1,0.7,1.6
2007/08,1.2,0.8,1.8
2007/09,1.1,0.7,0.1
2007/10,1.2,0.7,1.6
2007/11,1.1,0.7,1.7
2007/12,0.9,0.6,1.3
2008/01,1.1,0.7,1.6
2008/02,1.2,0.8,1.9
2008/03,1.2,0.6,1.4
2008/04,1.3,0.7,1.5
2008/05,1.3,0.7,1.8
2008/06,1.0,0.5,1.4
2008/07,1.2,0.6,1.6
2008/08,1.3,0.7,1.9
2008/09,1.3,0.6,1.6
2008/10,1.5,0.7,1.8
2008/11,1.7,0.7,2.1
2008/12,1.5,0.6,1.8
2009/01,2.0,0.8,2.4
2009/02,2.3,0.9,2.8
2009/03,2.0,0.7,2.2
2009/04,2.3,0.8,2.4
2009/05,2.3,0.8,2.7
2009/06,1.7,0.6,2.1
2009/07,1.9,0.6,2.3
2009/08,1.9,0.7,2.4
2009/09,1.6,0.6,1.8
2009/10,1.7,0.6,2.0
2009/11,1.6,0.6,1.9
2009/12,1.0,0.5,1.4
2010/01,1.4,0.6,1.7
2010/02,1.6,0.6,1.8
2010/03,1.5,0.5,1.4
2010/04,1.5,0.6,1.6
2010/05,1.7,0.6,1.8
2010/06,1.3,0.6,1.5
2010/07,1.7,0.7,1.7
2010/08,2.1,0.8,1.8
2010/09,1.7,0.7,1.5
2010/10,1.7,0.7,1.7
2010/11,1.7,0.7,1.7
2010/12,1.1,0.6,1.3
2011/01,1.3,0.7,1.6
2011/02,1.5,0.7,1.9
2011/03,1.4,0.6,1.6
2011/04,1.6,0.7,1.7
2011/05,1.7,0.8,1.9
2011/06,1.2,0.7,0.1
2011/07,1.4,0.8,2.0
2011/08,1.6,0.8,2.1
2011/09,1.3,0.7,1.8
2011/10,1.7,0.8,2.1
2011/11,2.0,0.8,2.3
2011/12,1.1,0.7,1.9
2012/01,1.3,0.8,2.2
2012/02,1.4,0.8,2.6
2012/03,1.3,0.8,2.1
2012/04,1.5,0.9,2.3
2012/05,1.7,1.0,2.4
2012/06,1.3,0.8,2.1
2012/07,1.7,0.9,2.2
2012/08,2.0,1.0,2.5
2012/09,1.4,0.9,2.1
2012/10,1.6,1.0,2.3
2012/11,1.6,1.0,2.4
2012/12,1.2,0.8,1.9
2013/01,1.3,1.0,2.2
2013/02,1.4,1.0,2.6
2013/03,1.3,1.0,2.2
2013/04,1.5,1.0,2.4
2013/05,1.5,1.0,2.5
2013/06,1.1,0.9,2.1
2013/07,1.2,0.9,2.1
2013/08,1.2,1.0,2.4
2013/09,1.1,0.9,1.9
2013/10,1.2,0.9,2.1
2013/11,1.3,0.9,2.3
2013/12,1.1,0.7,1.8
2014/01,1.2,0.7,2.1
2014/02,1.3,0.8,2.4
2014/03,1.1,0.7,2.0
2014/04,1.2,0.7,2.1
2014/05,1.3,0.7,2.3
2014/06,1.0,0.6,2.0
2014/07,1.2,0.7,2.1
2014/08,1.4,0.7,2.4
2014/09,1.2,0.6,1.9
2014/10,1.2,0.6,2.0
2014/11,1.2,0.6,2.3
2014/12,0.9,0.5,1.6
2015/01,1.0,0.5,1.9
2015/02,1.0,0.6,2.1
2015/03,1.0,0.5,1.8
2015/04,1.1,0.5,1.9
2015/05,1.2,0.5,2.1
2015/06,0.9,0.4,1.7
2015/07,1.0,0.5,1.9
2015/08,1.1,0.5,2.0
2015/09,1.0,0.4,1.6
2015/10,1.1,0.4,1.8
2015/11,1.1,0.4,1.8
2015/12,0.9,0.4,1.5
2016/01,1.0,0.4,1.7
2016/02,1.1,0.4,1.8
2016/03,1.0,0.4,1.8
2016/04,1.0,0.4,1.9
2016/05,1.2,0.4,2.0
2016/06,1.1,0.3,1.7
2016/07,1.3,0.3,1.8
2016/08,1.4,0.4,1.8
2016/09,1.3,0.3,1.7
2016/10,1.3,0.3,1.8
2016/11,1.0,0.3,1.9
2016/12,0.8,0.3,1.6
2017/01,0.8,0.3,1.8
2017/02,0.9,0.3,2.1
2017/03,0.8,0.3,1.7
2017/04,0.9,0.3,1.9
2017/05,0.9,0.3,1.9
2017/06,0.7,0.3,1.7
2017/07,0.7,0.3,1.8
2017/08,0.8,0.3,1.9
2017/09,0.7,0.3,1.7
2017/10,0.7,0.3,1.8
2017/11,0.7,0.3,1.9
2017/12,0.6,0.2,1.6
2018/01,0.7,0.3,1.8
2018/02,0.7,0.3,2.0
2018/03,0.9,0.3,1.8
2018/04,0.9,0.3,1.8
2018/05,1.0,0.3,1.9
2018/06,0.8,0.3,1.7
2018/07,0.9,0.3,1.8
2018/08,0.9,0.3,2.0
2018/09,0.9,0.3,1.8
2018/10,0.9,0.3,1.9
2018/11,0.9,0.3,1.9
2018/12,0.6,0.3,1.6
2019/01,0.7,0.3,1.7
2019/02,0.7,0.3,2.0
2019/03,0.7,0.3,1.8
2019/04,0.7,0.3,1.8
2019/05,0.7,0.3,1.9
2019/06,0.6,0.3,1.7
2019/07,0.7,0.3,1.8
2019/08,0.7,0.3,2.0
2019/09,0.6,0.3,1.7
2019/10,0.7,0.3,1.8
2019/11,0.7,0.3,1.9
2019/12,0.5,0.3,1.4
2020/01,0.6,0.3,1.5
2020/02,0.6,0.3,1.8
2020/03,0.6,0.3,1.6
2020/04,0.6,0.3,1.7
2020/05,0.6,0.3,1.8
2020/06,0.5,0.3,1.6
2020/07,0.5,0.3,1.6
2020/08,0.5,0.3,1.7
2020/09,0.4,0.2,1.4
2020/10,0.5,0.3,1.5
2020/11,0.5,0.3,1.5
2020/12,0.4,0.2,1.3
2021/01,0.4,0.2,1.5
2021/02,0.5,0.2,1.5
2021/03,0.4,0.2,1.3
2021/04,0.4,0.2,1.3
2021/05,0.5,0.2,1.4
2021/06,0.4,0.2,1.1
2021/07,0.4,0.2,1.2
2021/08,0.4,0.2,1.3
2021/09,0.3,0.2,1.1
2021/10,0.3,0.2,1.3
2021/11,0.4,0.2,1.3
2021/12,0.3,0.2,1.1
2022/01,0.3,0.2,1.2
2022/02,0.3,0.2,1.3
2022/03,0.3,0.2,1.2
2022/04,0.3,0.2,1.2
2022/05,0.3,0.2,1.2
2022/06,0.3,0.2,1.1
2022/07,0.3,0.2,1.2
2022/08,0.3,0.2,1.2
2022/09,0.3,0.2,1.1
2022/10,0.3,0.2,1.2
2022/11,0.3,0.3,1.3
2022/12,0.3,0.3,1.3
2023/01,0.4,0.3,1.4
2023/02,0.4,0.3,1.7
2023/03,0.4,0.3,1.5
2023/04,0.5,0.4,1.7
2023/05,0.5,0.4,1.7
2023/06,0.4,0.3,1.5
2023/07,0.5,0.4,1.6
2023/08,0.6,0.4,1.8
2023/09,0.5,0.4,1.6
2023/10,0.6,0.4,1.7
2023/11,0.6,0.4,1.8
2023/12,0.6,0.4,1.6
2024/01,0.6,0.4,1.7
2024/02,0.7,0.4,2.0
2024/03,0.6,0.4,1.8
2024/04,0.6,0.4,1.8
2024/05,0.7,0.4,1.9
2024/06,0.5,0.4,1.7
2024/07,0.7,0.4,1.8
2024/08,0.7,0.4,1.9
